name,shortDescription,city,country,websiteUrl,email,isPhysicalStore,isWebshop
"Manzaram","Modest fashion winkel met hijabs, twinsets en abayas aan het Bos en Lommerplein in Amsterdam-West. Al actief sinds 2005.","Amsterdam","NL","https://www.manzaram.nl","info@manzaram.nl",TRUE,TRUE
"Manzaram","Tweede Amsterdam-vestiging van Manzaram aan de 1e van Swindenstraat. Breed assortiment hijabs en abayas.","Amsterdam","NL","https://www.manzaram.nl","info@manzaram.nl",TRUE,TRUE
"J'NOOR","Luxe abayas en sjaals die verfijning combineren met bescheiden stijl. Gelegen in Stadscentrum Osdorpplein Amsterdam.","Amsterdam","NL","https://j-noor.com","info@j-noor.com",TRUE,TRUE
"Losyana","Een van de grootste hijabwinkels van Amsterdam met een uitgebreide collectie hoofddoeken en modest fashion kleding.","Amsterdam","NL","https://www.losyana.nl","info@losyana.nl",TRUE,TRUE
"Hafsa Boutique","Kaftans, abayas, islamitische boeken, sjaals en jellabas voor de hele familie. Gelegen aan het Osdorpplein.","Amsterdam","NL","https://hafsaboutique.nl","info@hafsaboutique.nl",TRUE,TRUE
"Hadiethshop Amsterdam","Winkel van 260 m² met islamitische boeken, kleding, geschenken en Eid-decoratie. Geopend in 2023 op het Osdorpplein.","Amsterdam","NL","https://hadiethshop.nl","info@hadiethshop.nl",TRUE,TRUE
"Boutique Asiya","Arabische en islamitische producten, boeken en kleding voor mannen, vrouwen en kinderen in Amsterdam-Oost.","Amsterdam","NL","","info@modestdirectory.com",TRUE,FALSE
"Hajar Paleis Amsterdam","Modest fashion boutique met abayas, takchita, khimars, kaftans en accessoires voor de moderne moslimvrouw.","Amsterdam","NL","https://www.hajarpaleis.nl","info@hajarpaleis.nl",TRUE,TRUE
"Merrachi Amsterdam","Flagshipstore van 300 m² van het Nederlands-Marokkaanse modest fashion merk Merrachi. Geopend in 2023.","Amsterdam","NL","https://bymerrachi.com","info@bymerrachi.com",TRUE,TRUE
"Noor Amsterdam","Islamitische en modest fashion boutique gelegen in De Pijp, een van de meest levendige buurten van Amsterdam.","Amsterdam","NL","https://nooramsterdam.com","info@nooramsterdam.com",TRUE,TRUE
"islamitischekleding.nl","Het grootste Nederlandse online platform voor islamitische kleding sinds 2007. Abayas, jilbabs, hijabs en djellabas.","Amsterdam","NL","https://islamitischekleding.nl","info@islamitischekleding.nl",FALSE,TRUE
"Al Mouhtadoun Fashion","Abayas, jilbabs, kimonos, gebedskleding en sport-hijabs voor vrouwen en kinderen. Snelle levering in Nederland.","","NL","https://almouhtadounfashion.nl","info@almouhtadounfashion.nl",FALSE,TRUE
"Manzaram Rotterdam","Manzaram-vestiging in Rotterdam Zuidplein. Hijabs, twinsets en abayas voor de modebewuste moslimvrouw.","Rotterdam","NL","https://www.manzaram.nl","info@manzaram.nl",TRUE,TRUE
"Sham Center","Islamitische dameskleding en accessoires in een winkel van meer dan 200 m². Geopend in 2024 op de Zwart Janstraat.","Rotterdam","NL","https://shamcenter.nl","info@shamcenter.nl",TRUE,TRUE
"Al-Amira Rotterdam","Dameskleding en sjaals waaronder hijabs, jurken, schoenen en tassen. Gezellige winkel in Rotterdam-Noord.","Rotterdam","NL","https://al-amira.nl","info@al-amira.nl",TRUE,FALSE
"Rania's Dresses","Toonaangevende modest fashion boutique op de Zwart Janstraat, het hart van de islamitische mode in Rotterdam.","Rotterdam","NL","https://raniasdresses.nl","info@raniasdresses.nl",TRUE,TRUE
"Sotra Rotterdam","Eerste fysieke winkel van modest islamitisch kledingmerk Sotra voor mannen en vrouwen. Modern en stijlvol design.","Rotterdam","NL","https://www.sotra.co","info@sotra.co",TRUE,TRUE
"Sunnah Center","Meer dan 2000 islamitische producten: boeken, kleding, parfums en geschenken. Een begrip in Rotterdam.","Rotterdam","NL","https://www.sunnahcenter.com","info@sunnahcenter.com",TRUE,TRUE
"By Rofayda","Islamitische kleding en accessoires: abayas, hijabs en modest fashion. Gebaseerd in de regio Rotterdam.","Rotterdam","NL","https://by-rofayda.nl","info@by-rofayda.nl",FALSE,TRUE
"House of Mästore","Premium jersey hijabs en modest fashion. Zweeds merk met grote populariteit in Rotterdam en heel Nederland.","","NL","https://www.houseofmastore.com","info@houseofmastore.com",FALSE,TRUE
"Manzaram Den Haag","Gevestigde modest fashion winkel van Manzaram in Den Haag, al actief in de regio sedert 2005.","Den Haag","NL","https://www.manzaram.nl","info@manzaram.nl",TRUE,TRUE
"Boutique Sarah","Damescollectie en verzorgingsproducten. Gelegen tegenover station Holland Spoor in het centrum van Den Haag.","Den Haag","NL","","info@modestdirectory.com",TRUE,FALSE
"Boutique Alhoceima","Islamitische damesmode met hijabs, abayas en modest jurken. Eén van vier vestigingen van Alhoceima in Den Haag.","Den Haag","NL","https://boutique-alhoceima.nl","info@boutique-alhoceima.nl",TRUE,TRUE
"Boutique Alhoceima Vaillantlaan","Derde vestiging van Alhoceima aan de Vaillantlaan in Den Haag. Modest islamitische mode voor de dagelijkse vrouw.","Den Haag","NL","https://boutique-alhoceima.nl","info@boutique-alhoceima.nl",TRUE,FALSE
"Boutique Alhoceima Kempstraat","Vierde vestiging van de populaire Alhoceima-keten in Den Haag-Zuid. Hijabs, abayas en islamitische dameskleding.","Den Haag","NL","https://boutique-alhoceima.nl","info@boutique-alhoceima.nl",TRUE,FALSE
"ABAYATI Chic","Emirates-geïnspireerde abayas met een Europese touch. Gevestigd in het stadscentrum van Den Haag sinds 2017.","Den Haag","NL","https://abayati-chic.nl","info@abayati-chic.nl",TRUE,TRUE
"Saffiya's Collection","Modest fashion vanuit Den Haag: jurken, blazers, jassen, twinsets en sjaals voor de moderne moslimvrouw.","Den Haag","NL","https://saffiyas.nl","info@saffiyas.nl",FALSE,TRUE
"Islamitische Boekhandel Refah","Islamitische boeken, gebedskleding, abayas en geschenken. Showroom in Den Haag en vestiging in Beverwijk.","Den Haag","NL","https://www.islamitische-boekhandel.nl","info@islamitische-boekhandel.nl",TRUE,TRUE
"L'amira Boutique Utrecht","Hijabs, abayas, islamitische boeken en gebedsmatten. Gelegen in Overvecht Centrum in Utrecht.","Utrecht","NL","https://www.lamiraboutique.nl","info@lamiraboutique.nl",TRUE,TRUE
